,date,period,demand_mw,bid_price,cumulative_bid_volumn
317,2023-01-07,31,6187.014,198.87,6198.900000000001
318,2023-01-07,32,6140.102,179.2,6147.2
319,2023-01-07,33,6137.518,179.2,6161.2
320,2023-01-07,34,6212.57,205.67,6220.8
321,2023-01-07,35,6273.04,229.2,6292.9
322,2023-01-07,36,6289.207,229.2,6289.7
323,2023-01-07,37,6336.248,250.0,6425.199999999999
324,2023-01-07,38,6381.063,250.0,6419.100000000001
325,2023-01-07,39,6412.398,250.0,6487.6
326,2023-01-07,40,6406.221,250.0,6498.8
327,2023-01-07,41,6417.254,229.2,6422.9
328,2023-01-07,42,6419.053,229.2,6424.400000000001
329,2023-01-07,43,6380.834,216.59,6383.1
330,2023-01-07,44,6278.566,246.57,6291.9
331,2023-01-07,45,6150.937,216.59,6155.1
332,2023-01-07,46,6063.127,200.87,6079.800000000001
333,2023-01-07,47,5969.462,200.77,5992.0
334,2023-01-07,48,5837.19,161.24,5844.7
335,2023-01-08,1,5700.848,198.1,5705.7
336,2023-01-08,2,5600.892,179.2,5624.599999999999
337,2023-01-08,3,5575.028,205.67,5580.0
338,2023-01-08,4,5479.932,198.2,5480.6
339,2023-01-08,5,5413.334,201.3,5420.2
340,2023-01-08,6,5338.217,179.2,5361.8
341,2023-01-08,7,5264.413,153.0,5266.1
342,2023-01-08,8,5237.466,137.5,5245.000000000001
343,2023-01-08,9,5241.934,137.5,5245.5
344,2023-01-08,10,5254.841,140.8,5258.400000000001
345,2023-01-08,11,5289.974,159.2,5308.099999999999
346,2023-01-08,12,5347.337,184.0,5347.7
347,2023-01-08,13,5405.571,106.9,5420.099999999999
348,2023-01-08,14,5451.2,111.0,5455.600000000001
349,2023-01-08,15,5478.476,119.2,5480.1
350,2023-01-08,16,5547.708,129.2,5550.0
351,2023-01-08,17,5635.543,140.6,5637.0
352,2023-01-08,18,5695.207,159.2,5722.400000000001
353,2023-01-08,19,5725.977,139.0,5733.5
354,2023-01-08,20,5747.323,139.0,5763.0
355,2023-01-08,21,5794.831,139.6,5801.500000000001
356,2023-01-08,22,5831.813,144.0,5834.5
357,2023-01-08,23,5806.58,124.4,5807.599999999999
358,2023-01-08,24,5786.019,123.3,5795.6
359,2023-01-08,25,5767.879,119.2,5772.6
360,2023-01-08,26,5795.925,129.2,5806.0
361,2023-01-08,27,5822.146,140.8,5824.400000000001
362,2023-01-08,28,5796.62,129.2,5803.1
363,2023-01-08,29,5812.241,129.2,5812.299999999999
364,2023-01-08,30,5836.256,142.63,5841.1
365,2023-01-08,31,5862.016,159.2,5906.1
366,2023-01-08,32,5905.811,159.2,5909.099999999999
367,2023-01-08,33,5928.892,179.2,5951.8
368,2023-01-08,34,5973.468,189.2,5977.900000000001
369,2023-01-08,35,5999.451,191.0,6001.700000000001
370,2023-01-08,36,6045.443,205.67,6062.3
371,2023-01-08,37,6104.606,229.2,6114.099999999999
372,2023-01-08,38,6203.037,289.77,6210.200000000001
373,2023-01-08,39,6292.507,358.87,6295.200000000001
374,2023-01-08,40,6324.941,375.2,6328.600000000001
375,2023-01-08,41,6352.222,439.0,6353.0
376,2023-01-08,42,6364.706,450.0,6370.199999999999
377,2023-01-08,43,6342.366,500.0,6363.399999999999
378,2023-01-08,44,6273.323,434.0,6281.499999999999
379,2023-01-08,45,6166.234,349.2,6174.099999999999
380,2023-01-08,46,6082.341,289.67,6085.399999999999
381,2023-01-08,47,5984.894,275.5,5988.800000000001
382,2023-01-08,48,5870.47,205.67,5875.8
383,2023-01-09,1,5748.953,191.0,5753.8
384,2023-01-09,2,5637.546,179.2,5646.2
385,2023-01-09,3,5562.956,151.0,5566.700000000001
386,2023-01-09,4,5489.668,124.07,5493.1
387,2023-01-09,5,5421.534,120.21,5425.1
388,2023-01-09,6,5387.53,120.21,5402.1
389,2023-01-09,7,5348.734,120.21,5365.5
390,2023-01-09,8,5342.238,104.87,5344.1
391,2023-01-09,9,5330.161,120.48,5348.5
392,2023-01-09,10,5335.484,119.2,5336.3
393,2023-01-09,11,5441.892,144.0,5444.900000000001
394,2023-01-09,12,5608.486,180.48,5617.099999999999
395,2023-01-09,13,5817.504,250.0,5847.099999999999
396,2023-01-09,14,6026.746,404.07,6030.699999999999
397,2023-01-09,15,6232.246,410.48,6247.200000000001
398,2023-01-09,16,6459.126,750.0,6468.6
399,2023-01-09,17,6664.159,890.0,6685.5999999999985
400,2023-01-09,18,6795.908,900.0,6809.6
401,2023-01-09,19,6874.514,1100.0,6889.6
402,2023-01-09,20,6880.405,1100.0,6889.599999999999
403,2023-01-09,21,6897.944,900.0,6911.600000000001
404,2023-01-09,22,6871.752,1100.0,6901.600000000001
405,2023-01-09,23,6850.469,900.0,6884.5999999999985
406,2023-01-09,24,6809.745,880.0,6813.000000000001
407,2023-01-09,25,6749.295,750.0,6769.9000000000015
408,2023-01-09,26,6762.803,750.0,6770.6
409,2023-01-09,27,6815.083,882.0,6820.099999999999
410,2023-01-09,28,6875.235,890.0,6889.6
411,2023-01-09,29,6925.352,900.0,6934.599999999999
412,2023-01-09,30,6872.769,890.0,6918.599999999999
413,2023-01-09,31,6878.917,890.0,6918.6
414,2023-01-09,32,6876.86,890.0,6919.6
415,2023-01-09,33,6875.602,890.0,6919.6
416,2023-01-09,34,6880.587,890.0,6925.599999999999
417,2023-01-09,35,6881.074,890.0,6934.600000000001
418,2023-01-09,36,6829.436,750.0,6855.6
419,2023-01-09,37,6773.643,650.0,6787.5
420,2023-01-09,38,6835.683,890.0,6880.6
421,2023-01-09,39,6855.663,890.0,6865.600000000001
